"project";"sampling_year";"species_code_fao";"sex";"fork_length";"whole_fishweight"
"BIOMCO";1987;"YFT";"F";110.5;25.5
"BIOMCO";1987;"YFT";"F";120;34
"BIOMCO";1987;"YFT";"M";112;27
"BIOMCO";1987;"YFT";"M";110.5;26.5
"BIOMCO";1987;"YFT";"M";114;27.5
"BIOMCO";1987;"YFT";"M";116;29.5
"BIOMCO";1987;"YFT";"M";111;25.5
"BIOMCO";1987;"YFT";"F";115.5;30
"BIOMCO";1987;"YFT";"M";113.5;28
"BIOMCO";1987;"YFT";"F";110;27
"BIOMCO";1987;"YFT";"M";114.5;26.5
"BIOMCO";1987;"YFT";"M";114.5;26.5
"BIOMCO";1987;"YFT";"M";164;95
"BIOMCO";1987;"YFT";"M";115;27
"BIOMCO";1987;"YFT";"M";113;27.5
"BIOMCO";1987;"YFT";"F";112;26.5
"BIOMCO";1987;"YFT";"F";128;39
"BIOMCO";1987;"YFT";"M";115;32
"BIOMCO";1987;"YFT";"F";115;27.5
"BIOMCO";1987;"YFT";"M";117;32
"BIOMCO";1987;"YFT";"F";112;24.5
"BIOMCO";1987;"YFT";"F";137;50
"BIOMCO";1987;"YFT";"M";117;32.5
"BIOMCO";1987;"YFT";"F";111.5;27
"BIOMCO";1987;"YFT";"F";112;26.5
"BIOMCO";1987;"YFT";"F";132;44.5
"BIOMCO";1987;"YFT";"F";114.5;30
"BIOMCO";1987;"YFT";"M";131;46
"BIOMCO";1987;"YFT";"F";116;30
"BIOMCO";1987;"YFT";"M";116;30
"BIOMCO";1987;"YFT";"M";116.5;32
"BIOMCO";1987;"YFT";"F";115;32
"BIOMCO";1987;"YFT";"M";119;32
"BIOMCO";1987;"YFT";"F";115;29
"BIOMCO";1987;"YFT";"M";111;27
"BIOMCO";1987;"YFT";"M";114;28.5
"BIOMCO";1987;"YFT";"F";98;18.5
"BIOMCO";1987;"YFT";"M";117.5;32.5
"BIOMCO";1987;"YFT";"F";113.5;27.5
"BIOMCO";1987;"YFT";"M";118;32.5
"BIOMCO";1987;"YFT";"F";132;46.5
"BIOMCO";1987;"YFT";"M";114;30.5
"BIOMCO";1987;"YFT";"F";113;29
"BIOMCO";1987;"YFT";"M";118;34
"BIOMCO";1987;"YFT";"M";120;35.5
"BIOMCO";1987;"YFT";"M";115;30.5
"BIOMCO";1987;"YFT";"M";124;37.5
"BIOMCO";1987;"YFT";"M";117;32.5
"BIOMCO";1987;"YFT";"F";114.5;29
"BIOMCO";1987;"YFT";"M";109;27.5
"BIOMCO";1987;"YFT";"F";116;33
"BIOMCO";1987;"YFT";"F";115.5;32
"BIOMCO";1987;"YFT";"M";112;26.5
"BIOMCO";1987;"YFT";"F";116;33
"BIOMCO";1987;"YFT";"F";113.5;30
"BIOMCO";1987;"YFT";"M";115;31
"BIOMCO";1987;"YFT";"F";114;31.5
"BIOMCO";1987;"YFT";"F";111;29
"BIOMCO";1987;"YFT";"M";117;31
"BIOMCO";1987;"YFT";"M";111;28.5
"BIOMCO";1987;"YFT";"M";157;82.5
"BIOMCO";1987;"YFT";"M";107.5;25.5
"BIOMCO";1987;"YFT";"M";141.5;62.5
"BIOMCO";1987;"YFT";"F";144;60
"BIOMCO";1987;"YFT";"M";110;28
"BIOMCO";1987;"YFT";"F";145.5;58.5
"BIOMCO";1987;"YFT";"M";135;51
"BIOMCO";1987;"YFT";"F";131;52
"BIOMCO";1987;"YFT";"F";112;28
"BIOMCO";1987;"YFT";"M";140;59
"BIOMCO";1987;"YFT";"F";139;56
"BIOMCO";1987;"YFT";"M";147;74.5
"BIOMCO";1987;"YFT";"M";113.5;27.5
"BIOMCO";1987;"YFT";"F";139.5;56.5
"BIOMCO";1987;"YFT";"M";138;56.5
"BIOMCO";1987;"YFT";"F";143.5;60
"BIOMCO";1987;"YFT";"M";139;57.5
"BIOMCO";1987;"YFT";"M";145.5;61.5
"BIOMCO";1987;"YFT";"F";136;55
"BIOMCO";1987;"YFT";"M";137;54
"BIOMCO";1987;"YFT";"M";107;25
"BIOMCO";1987;"YFT";"M";138;58
"BIOMCO";1987;"YFT";"M";127;47
"BIOMCO";1987;"YFT";"M";150;71.5
"BIOMCO";1987;"YFT";"M";131;49
"BIOMCO";1987;"YFT";"M";145;58
"BIOMCO";1987;"YFT";"F";134;54
"BIOMCO";1987;"YFT";"F";132;51.5
"BIOMCO";1987;"YFT";"M";139;55
"BIOMCO";1987;"YFT";"M";133;48
"BIOMCO";1987;"YFT";"F";128.5;43.5
"BIOMCO";1987;"YFT";"M";140;57.5
"BIOMCO";1987;"YFT";"F";135;54.5
"BIOMCO";1987;"YFT";"M";140;57.5
"BIOMCO";1987;"YFT";"F";131;39
"BIOMCO";1987;"YFT";"M";135.5;52.5
"BIOMCO";1987;"YFT";"M";141.5;60
"BIOMCO";1987;"YFT";"M";102.5;21
"BIOMCO";1987;"YFT";"F";108.5;24.5
"BIOMCO";1987;"YFT";"M";104.5;22.5
"BIOMCO";1987;"YFT";"M";101;22
"BIOMCO";1987;"YFT";"M";107.5;24
"BIOMCO";1987;"YFT";"M";153;66
"BIOMCO";1987;"YFT";"F";129.5;40.5
"BIOMCO";1987;"YFT";"M";143.5;61.5
"BIOMCO";1987;"YFT";"F";135;51.5
"BIOMCO";1987;"YFT";"M";138;54
"BIOMCO";1987;"YFT";"M";142.5;58
"BIOMCO";1987;"YFT";"M";152.5;63
"BIOMCO";1987;"YFT";"F";138;50
"BIOMCO";1987;"YFT";"F";137;49.5
"BIOMCO";1987;"YFT";"F";136;49
"BIOMCO";1987;"YFT";"F";137;43.5
"BIOMCO";1987;"YFT";"F";132.5;42.5
"BIOMCO";1987;"YFT";"F";137.5;48
"BIOMCO";1987;"YFT";"M";146;61.5
"BIOMCO";1987;"YFT";"F";132;43
"BIOMCO";1987;"YFT";"F";145;59
"BIOMCO";1987;"YFT";"F";99;20
"BIOMCO";1987;"YFT";"M";154.5;72
"BIOMCO";1987;"YFT";"F";143;60
"BIOMCO";1987;"YFT";"F";137;50
"BIOMCO";1987;"YFT";"M";156;82
"BIOMCO";1987;"YFT";"F";137;51.5
"BIOMCO";1987;"YFT";"M";136;56
"BIOMCO";1987;"YFT";"M";114;29
"BIOMCO";1987;"YFT";"M";119.5;31.5
"BIOMCO";1987;"YFT";"M";119;30
"BIOMCO";1987;"YFT";"F";117;28.5
"BIOMCO";1987;"YFT";"F";122.5;32.5
"BIOMCO";1987;"YFT";"M";88;13
"BIOMCO";1987;"YFT";"M";100;17
"BIOMCO";1987;"YFT";"M";94.5;15.5
"BIOMCO";1987;"YFT";"M";119.5;30
"BIOMCO";1987;"YFT";"F";112;24.5
"BIOMCO";1987;"YFT";"F";118.5;30
"BIOMCO";1987;"YFT";"F";118;29
"BIOMCO";1987;"YFT";"F";120;30.5
"BIOMCO";1987;"YFT";"M";123;36.5
"BIOMCO";1987;"YFT";"F";116.5;32
"BIOMCO";1987;"YFT";"F";114.5;26.5
"BIOMCO";1987;"YFT";"F";114;26.5
"BIOMCO";1987;"YFT";"F";96.5;15.5
"BIOMCO";1987;"YFT";"M";110.5;27
"BIOMCO";1987;"YFT";"M";94;14
"BIOMCO";1987;"YFT";"F";114.5;25.5
"BIOMCO";1987;"YFT";"M";140;57.5
"BIOMCO";1987;"YFT";"M";121.5;31
"BIOMCO";1987;"YFT";"M";116.5;29.5
"BIOMCO";1987;"YFT";"F";120;32.5
"BIOMCO";1987;"YFT";"F";120;32.5
"BIOMCO";1987;"YFT";"F";119;34.5
"BIOMCO";1987;"YFT";"F";115;26
"BIOMCO";1987;"YFT";"M";119;32.5
"BIOMCO";1987;"YFT";"M";112.5;29
"BIOMCO";1987;"YFT";"F";134;49.5
"BIOMCO";1987;"YFT";"M";120;31
"BIOMCO";1987;"YFT";"M";138;51
"PATUDO";1987;"BET";NA;87;15
"PATUDO";1987;"BET";NA;85;13.5
"PATUDO";1987;"BET";NA;86.5;14
"PATUDO";1987;"BET";NA;73.5;9
"PATUDO";1987;"BET";NA;94;20
"PATUDO";1987;"BET";NA;73;9
"PATUDO";1987;"BET";NA;103.5;23.5
"PATUDO";1987;"BET";NA;85;14
"PATUDO";1987;"BET";NA;68.5;8
"PATUDO";1987;"BET";NA;93;19.5
"PATUDO";1987;"BET";NA;84;15
"PATUDO";1987;"BET";NA;86;15
"PATUDO";1987;"BET";NA;89;16
"PATUDO";1987;"BET";NA;75;10
"PATUDO";1987;"BET";NA;90;16.5
"PATUDO";1987;"BET";NA;60;5
"PATUDO";1987;"BET";NA;72;7.2
"PATUDO";1987;"BET";NA;74;8.7
"PATUDO";1987;"BET";NA;82;12.8
"PATUDO";1987;"BET";NA;64.5;6.3
"PATUDO";1987;"BET";NA;62;4.9
"PATUDO";1987;"BET";NA;72.5;7.6
"PATUDO";1987;"BET";NA;56;4.3
"BIOMCO";1987;"YFT";"M";61;4.3
"BIOMCO";1987;"YFT";"M";109;27.5
"BIOMCO";1987;"YFT";"F";127;42
"BIOMCO";1987;"YFT";"F";114;27
"BIOMCO";1987;"YFT";"F";121.5;33
"BIOMCO";1987;"YFT";"F";115;29
"BIOMCO";1987;"YFT";"F";119;32
"BIOMCO";1987;"YFT";"F";118;30
"BIOMCO";1987;"YFT";"F";117;26.5
"BIOMCO";1987;"YFT";"F";116;28
"BIOMCO";1987;"YFT";"M";114;30
"BIOMCO";1987;"YFT";"F";109.5;25
"BIOMCO";1987;"YFT";"M";110;26.5
"BIOMCO";1987;"YFT";"M";114;28.5
"BIOMCO";1987;"YFT";"M";110.5;25
"BIOMCO";1987;"YFT";"M";110;24.5
"BIOMCO";1987;"YFT";"F";110;26.5
"BIOMCO";1987;"YFT";"M";113;22.5
"BIOMCO";1987;"YFT";"M";86;13.5
"BIOMCO";1987;"YFT";"M";89;14.5
"BIOMCO";1987;"YFT";"M";88;14
"BIOMCO";1987;"YFT";"M";98.5;15
"BIOMCO";1987;"YFT";"F";96;17
"BIOMCO";1987;"YFT";"F";92.5;14
"BIOMCO";1987;"YFT";"M";89;13.5
"BIOMCO";1987;"YFT";"F";115;31.5
"BIOMCO";1987;"YFT";"M";109.5;26
"BIOMCO";1987;"YFT";"M";112;24
"BIOMCO";1987;"YFT";"M";114;26.5
"BIOMCO";1987;"YFT";"M";113.5;27.5
"BIOMCO";1987;"YFT";"M";115;28
"BIOMCO";1987;"YFT";"F";87.5;11
"BIOMCO";1987;"YFT";"F";113.5;27
"BIOMCO";1987;"YFT";"M";116;32
"BIOMCO";1987;"YFT";"M";146;58
"BIOMCO";1987;"YFT";"M";129;42.5
"BIOMCO";1987;"YFT";"M";109.5;27.5
"BIOMCO";1987;"YFT";"M";118;33
"BIOMCO";1987;"YFT";"F";118;31.5
"BIOMCO";1987;"YFT";"M";124.5;39
"BIOMCO";1987;"YFT";"F";121;36
"BIOMCO";1987;"YFT";"M";109.5;25
"BIOMCO";1987;"YFT";"M";116.5;31
"BIOMCO";1987;"YFT";"M";112;29
"BIOMCO";1987;"YFT";"M";105;22.5
"BIOMCO";1987;"YFT";"M";114;28.5
"BIOMCO";1987;"YFT";"M";123;37
"BIOMCO";1987;"YFT";"F";113;31
"BIOMCO";1987;"YFT";"F";133.5;50
"BIOMCO";1987;"YFT";"M";95.5;16
"BIOMCO";1987;"YFT";"F";105.5;26
"BIOMCO";1987;"YFT";"F";117;36.5
"BIOMCO";1987;"YFT";"M";88.5;15
"BIOMCO";1987;"YFT";"M";135;51.5
"BIOMCO";1987;"YFT";"F";140;60
"BIOMCO";1987;"YFT";"M";113;28
"BIOMCO";1987;"YFT";"F";113;28.5
"BIOMCO";1987;"YFT";"M";113;28
"BIOMCO";1987;"YFT";"M";108;28
"BIOMCO";1987;"YFT";"M";146;62
"BIOMCO";1987;"YFT";"F";112.5;28
"BIOMCO";1987;"YFT";"M";110.5;27
"BIOMCO";1987;"YFT";"M";85;13.5
"BIOMCO";1987;"YFT";"M";93;17
"BIOMCO";1987;"YFT";"M";109;27.5
"BIOMCO";1987;"YFT";"F";112;28.5
"BIOMCO";1987;"YFT";"F";112;30.5
"BIOMCO";1987;"YFT";"M";111;26
"BIOMCO";1987;"YFT";"F";86;14
"BIOMCO";1987;"YFT";"M";105;25
"BIOMCO";1987;"YFT";"F";114;31
"BIOMCO";1987;"YFT";"M";116.5;31
"BIOMCO";1987;"YFT";"M";113;31.5
"BIOMCO";1987;"YFT";"F";94.5;15.5
"BIOMCO";1987;"YFT";"M";105.5;24.5
"BIOMCO";1987;"YFT";"F";108.5;22.5
"BIOMCO";1987;"YFT";"M";95.5;17
"BIOMCO";1987;"YFT";"F";98;16
"BIOMCO";1987;"YFT";"M";127;39.5
"BIOMCO";1987;"YFT";"F";130;41.5
"BIOMCO";1987;"YFT";"F";101;20
"BIOMCO";1987;"YFT";"F";96;16
"BIOMCO";1987;"YFT";"M";66;5.5
"BIOMCO";1987;"YFT";"F";79;9.5
"BIOMCO";1987;"YFT";"F";85;11
"BIOMCO";1987;"YFT";"F";88.5;12.5
"BIOMCO";1987;"YFT";"M";59;4
"BIOMCO";1987;"YFT";"F";93.5;14
"BIOMCO";1987;"YFT";"M";135;52
"BIOMCO";1987;"YFT";"F";90;15
"BIOMCO";1987;"YFT";"F";133;45.5
"BIOMCO";1987;"YFT";"M";114.5;31.5
"BIOMCO";1987;"YFT";"M";116;31.5
"BIOMCO";1987;"YFT";"M";141;58
"BIOMCO";1987;"YFT";"M";107;22.5
"BIOMCO";1987;"YFT";"M";111;27.5
"BIOMCO";1987;"YFT";"M";116;32
"BIOMCO";1987;"YFT";"F";117.5;31.5
"BIOMCO";1987;"YFT";"F";105.5;24
"BIOMCO";1987;"YFT";"F";117;28.5
"BIOMCO";1987;"YFT";"F";115;27
"BIOMCO";1987;"YFT";"F";112.5;28
"BIOMCO";1987;"YFT";"M";136.5;52.5
"BIOMCO";1987;"YFT";"F";118;34
"BIOMCO";1987;"YFT";"F";111;24.5
"BIOMCO";1987;"YFT";"M";111;25.5
"BIOMCO";1987;"YFT";"M";115;34.5
"BIOMCO";1987;"YFT";"M";91;14.5
"BIOMCO";1987;"YFT";"M";115;31
"BIOMCO";1987;"YFT";"M";109;27
"BIOMCO";1987;"YFT";"M";119;32
"BIOMCO";1987;"YFT";"M";119;33.5
"BIOMCO";1987;"YFT";"M";115;29
"BIOMCO";1987;"YFT";"F";110;27
"BIOMCO";1987;"YFT";"F";117;32
"BIOMCO";1987;"YFT";"M";117;32
"BIOMCO";1987;"YFT";"M";121;32.5
"BIOMCO";1987;"YFT";"M";114;29
"BIOMCO";1987;"YFT";"M";115;31
"BIOMCO";1987;"YFT";"F";115;31.5
"BIOMCO";1987;"YFT";"M";107;26
"BIOMCO";1987;"YFT";"F";113;28
"BIOMCO";1987;"YFT";"M";112;30
"BIOMCO";1987;"YFT";"F";114;32.5
"BIOMCO";1987;"YFT";"F";107;27.5
"BIOMCO";1987;"YFT";"F";118;32
"BIOMCO";1987;"YFT";"M";116;32
"BIOMCO";1987;"YFT";"F";112;29
"BIOMCO";1987;"YFT";"M";119;34.5
"BIOMCO";1987;"YFT";"M";121;36.5
"BIOMCO";1987;"YFT";"F";117;35
"BIOMCO";1987;"YFT";"M";113;33
"BIOMCO";1987;"YFT";"F";112;27.5
"BIOMCO";1987;"YFT";"F";110;25.5
"BIOMCO";1987;"YFT";"F";112;27.5
"BIOMCO";1987;"YFT";"F";115;32.5
"BIOMCO";1987;"YFT";"M";125;39
"BIOMCO";1987;"YFT";"M";121;38
"BIOMCO";1987;"YFT";"M";108;27
"BIOMCO";1987;"YFT";"M";125;40.5
"BIOMCO";1987;"YFT";"F";115;33.5
"BIOMCO";1987;"YFT";"M";116;36
"BIOMCO";1987;"YFT";"M";116.5;33
"BIOMCO";1987;"YFT";"M";117;34.5
"BIOMCO";1987;"YFT";"M";110;27.5
"BIOMCO";1987;"YFT";"F";113.5;28
"BIOMCO";1987;"YFT";"M";119;31.5
"BIOMCO";1987;"YFT";"M";113.5;28.5
"BIOMCO";1987;"YFT";"F";117;31
"BIOMCO";1987;"YFT";"M";117;32
"BIOMCO";1987;"YFT";"F";121.5;34.5
"BIOMCO";1987;"YFT";"F";117.5;33.5
"BIOMCO";1987;"YFT";"M";116.5;29.5
"BIOMCO";1987;"YFT";"M";117;32
"BIOMCO";1987;"YFT";"M";115;28.5
"BIOMCO";1987;"YFT";"F";108.5;25
"BIOMCO";1987;"YFT";"F";114;29.5
"BIOMCO";1987;"YFT";"F";114;30.5
"BIOMCO";1987;"YFT";"M";118;33
"BIOMCO";1987;"YFT";"M";118;32
"BIOMCO";1987;"YFT";"M";117.5;33
"BIOMCO";1987;"YFT";"M";117.5;30
"BIOMCO";1987;"YFT";"M";119;32.5
"BIOMCO";1987;"YFT";"F";131.5;48
"BIOMCO";1987;"YFT";"M";136;53
"BIOMCO";1987;"YFT";"M";117.5;32
"BIOMCO";1987;"YFT";"F";121.5;35.5
"BIOMCO";1987;"YFT";"M";117;33
"BIOMCO";1987;"YFT";"F";110;28
"BIOMCO";1987;"YFT";"M";118;33
"BIOMCO";1987;"YFT";"F";119;33
"BIOMCO";1987;"YFT";"F";113;30.5
"BIOMCO";1987;"YFT";"M";118;30.5
"BIOMCO";1987;"YFT";"M";137;51.5
"BIOMCO";1987;"YFT";"M";111;25.5
"BIOMCO";1987;"YFT";"F";113.5;28.5
"BIOMCO";1987;"YFT";"F";117;30.5
"BIOMCO";1987;"YFT";"F";111.5;26.5
"BIOMCO";1987;"YFT";"F";117;25.5
"BIOMCO";1987;"YFT";"M";117.5;32.5
"BIOMCO";1987;"YFT";"F";102;21
"BIOMCO";1987;"YFT";"M";138;51
"BIOMCO";1987;"YFT";"F";117.5;30
"BIOMCO";1987;"YFT";"M";133;49
"BIOMCO";1987;"YFT";"M";116;27.5
"BIOMCO";1987;"YFT";"M";129.5;44.5
"BIOMCO";1987;"YFT";"M";129;39
"BIOMCO";1987;"YFT";"M";116;31.5
"BIOMCO";1987;"YFT";"F";116.5;29.5
"BIOMCO";1987;"YFT";"M";89;13.5
"BIOMCO";1987;"YFT";"F";106;23
"BIOMCO";1987;"YFT";"F";117;32
"BIOMCO";1987;"YFT";"M";107;25
"BIOMCO";1987;"YFT";"F";112.5;29.5
"BIOMCO";1987;"YFT";"F";104;21.5
"BIOMCO";1987;"YFT";"F";93;16
"BIOMCO";1987;"YFT";"F";97;17.5
"BIOMCO";1987;"YFT";"F";99;19
"BIOMCO";1987;"YFT";"M";105;24
"BIOMCO";1987;"YFT";"M";115;26.5
"BIOMCO";1987;"YFT";"F";112;25
"BIOMCO";1987;"YFT";"F";85;12
"BIOMCO";1987;"YFT";"M";141;59.5
"BIOMCO";1987;"YFT";"M";136;52.5
"BIOMCO";1987;"YFT";"F";75;8
"BIOMCO";1987;"YFT";"M";101;20.5
"BIOMCO";1987;"YFT";"F";126;42.5
"BIOMCO";1987;"YFT";"F";126;39
"BIOMCO";1987;"YFT";"F";125;38
"BIOMCO";1987;"YFT";"M";120;34
"BIOMCO";1987;"YFT";"F";138;49.5
"BIOMCO";1987;"YFT";"M";88;13.5
"BIOMCO";1987;"YFT";"F";100;21
"BIOMCO";1987;"YFT";"M";92;14.5
"BIOMCO";1987;"YFT";"M";146;63
"BIOMCO";1987;"YFT";"M";95;15.5
"BIOMCO";1987;"YFT";"F";89;14
"BIOMCO";1987;"YFT";"F";95;18
"BIOMCO";1987;"YFT";"M";89;13.5
"BIOMCO";1987;"YFT";"F";102;20
"BIOMCO";1987;"YFT";"M";105;24
"BIOMCO";1987;"YFT";"F";105;22
"BIOMCO";1987;"YFT";"M";99;18.5
"BIOMCO";1987;"YFT";"M";93;15.5
"BIOMCO";1988;"YFT";"M";149.5;69
"BIOMCO";1987;"YFT";"M";137;52.5
"BIOMCO";1987;"YFT";"M";132;45
"BIOMCO";1987;"YFT";"M";140;55
"BIOMCO";1987;"YFT";"M";136;50
"BIOMCO";1987;"YFT";"M";137;55
"BIOMCO";1987;"YFT";"M";132;46.5
"BIOMCO";1987;"YFT";"M";134;50.5
"BIOMCO";1987;"YFT";"M";82;10.5
"BIOMCO";1987;"YFT";"M";101;20
"BIOMCO";1987;"YFT";"M";97;17
"BIOMCO";1987;"YFT";"F";117;31
"BIOMCO";1987;"YFT";"F";121;33
"BIOMCO";1987;"YFT";"F";119;30.5
"BIOMCO";1987;"YFT";"F";119;31.5
"BIOMCO";1987;"YFT";"F";122;33
"BIOMCO";1987;"YFT";"M";127;39
"BIOMCO";1987;"YFT";"M";123;34
"BIOMCO";1987;"YFT";"F";121;32.5
"BIOMCO";1987;"YFT";"M";133;51
"BIOMCO";1987;"YFT";"F";123;35.5
"BIOMCO";1987;"YFT";"M";117;30.5
"BIOMCO";1987;"YFT";"M";117;32.5
"BIOMCO";1987;"YFT";"M";123;32
"BIOMCO";1987;"YFT";"F";118;28.5
"BIOMCO";1987;"YFT";"F";117;31
"BIOMCO";1987;"YFT";"F";120;32
"BIOMCO";1987;"YFT";"M";115;27.5
"BIOMCO";1987;"YFT";"F";101;17.5
"BIOMCO";1987;"YFT";"M";119;32.5
"BIOMCO";1987;"YFT";"M";90;18.5
"BIOMCO";1987;"YFT";"F";115;22.5
"BIOMCO";1987;"YFT";"F";119;32
"BIOMCO";1987;"YFT";"F";117;31
"BIOMCO";1987;"YFT";"M";125;40
"BIOMCO";1987;"YFT";"F";106;27.5
"BIOMCO";1987;"YFT";"F";103;20
"BIOMCO";1987;"YFT";"M";92;13.5
"BIOMCO";1987;"YFT";"M";126;37
"BIOMCO";1987;"YFT";"F";123;36
"BIOMCO";1987;"YFT";"F";129;43.5
"BIOMCO";1987;"YFT";"F";120;33.5
"BIOMCO";1987;"YFT";"M";117;32.5
"BIOMCO";1987;"YFT";"F";118;32
"BIOMCO";1987;"YFT";"F";125;36
"BIOMCO";1987;"YFT";"F";116;30.5
"BIOMCO";1987;"YFT";"F";123;35.5
"BIOMCO";1987;"YFT";"F";118;33
"BIOMCO";1987;"YFT";"M";127;39
"BIOMCO";1987;"YFT";"M";121;33.5
"BIOMCO";1987;"YFT";"M";120;34.5
"BIOMCO";1987;"YFT";"M";125;39
"BIOMCO";1987;"YFT";"M";120;35
"BIOMCO";1987;"YFT";"M";120;33.5
"BIOMCO";1987;"YFT";"M";117;29.5
"BIOMCO";1987;"YFT";"F";120;34
"BIOMCO";1987;"YFT";"F";123;36
"BIOMCO";1987;"YFT";"F";122;36
"BIOMCO";1987;"YFT";"M";124;35
"BIOMCO";1987;"YFT";"F";122.5;36
"BIOMCO";1987;"YFT";"F";128;41
"BIOMCO";1987;"YFT";"M";125;40
"BIOMCO";1987;"YFT";"M";127.5;40.5
"BIOMCO";1987;"YFT";"F";132.5;50
"BIOMCO";1987;"YFT";"F";116;28.5
"BIOMCO";1987;"YFT";"F";90;16
"BIOMCO";1987;"YFT";"F";68;6.5
"BIOMCO";1987;"YFT";"M";140.5;60.5
"BIOMCO";1987;"YFT";"M";143.5;60.5
"BIOMCO";1987;"YFT";"M";63.5;5
"BIOMCO";1987;"YFT";"F";96.5;18.5
"BIOMCO";1987;"YFT";"F";92.5;16.5
"BIOMCO";1987;"YFT";"M";144.5;60.5
"BIOMCO";1987;"YFT";"F";81;11.5
"BIOMCO";1987;"YFT";"F";83.5;11.5
"BIOMCO";1987;"YFT";"M";148.5;67.5
"BIOMCO";1987;"YFT";"F";117;35
"BIOMCO";1987;"YFT";"F";110;24.5
"BIOM-BET";1988;"BET";NA;57;4.3
"BIOMCO";1987;"YFT";"M";103;22.5
"BIOMCO";1987;"YFT";"F";95;18
"BIOMCO";1987;"YFT";"F";122.5;39
"BIOMCO";1987;"YFT";"F";90;19
"BIOMCO";1987;"YFT";"F";109;27
"BIOMCO";1987;"YFT";"M";110.5;27
"BIOMCO";1987;"YFT";"M";120;35
"BIOMCO";1987;"YFT";"F";94.5;17.5
"BIOMCO";1987;"YFT";"M";123;35
"BIOMCO";1987;"YFT";"F";86.5;12.5
"BIOMCO";1987;"YFT";"F";125.5;37
"BIOMCO";1987;"YFT";"M";97;19
"BIOMCO";1987;"YFT";"M";95;16.5
"BIOMCO";1987;"YFT";"M";121.5;33
"BIOMCO";1987;"YFT";"M";119;32
"BIOMCO";1987;"YFT";"M";122;34.5
"BIOMCO";1987;"YFT";"F";119;34
"BIOMCO";1987;"YFT";"M";121.5;33
"BIOMCO";1987;"YFT";"F";116;32.5
"BIOMCO";1987;"YFT";"F";120;31.5
"BIOMCO";1987;"YFT";"F";82.5;10.5
"BIOMCO";1987;"YFT";"M";81.5;11
"BIOMCO";1987;"YFT";"F";80;10.5
"BIOMCO";1987;"YFT";"M";92.5;15
"BIOMCO";1987;"YFT";"M";82.5;11
"BIOMCO";1987;"YFT";"M";80;10
"BIOMCO";1987;"YFT";"M";78;9.5
"BIOMCO";1987;"YFT";"M";80;9.5
"BIOMCO";1987;"YFT";"M";75;7.5
"BIOMCO";1987;"YFT";"M";76;8.5
"BIOMCO";1987;"YFT";"M";83.5;12
"BIOMCO";1987;"YFT";"M";80.5;10
"BIOMCO";1987;"YFT";"F";76;8.5
"BIOMCO";1987;"YFT";"M";81;10.5
"BIOMCO";1987;"YFT";"M";81;10
"BIOMCO";1987;"YFT";"F";81.5;11.5
"BIOMCO";1987;"YFT";"F";80;10.5
"BIOMCO";1987;"YFT";"M";83;10
"BIOMCO";1987;"YFT";"M";84;11
"BIOMCO";1987;"YFT";"F";83.5;12
"BIOMCO";1987;"YFT";"M";82.5;10.5
"BIOMCO";1987;"YFT";"F";83;11
"BIOMCO";1987;"YFT";"F";84;12
"BIOMCO";1987;"YFT";"F";78;9.5
"BIOMCO";1987;"YFT";"M";79.5;9.5
"BIOMCO";1987;"YFT";"M";81;10.5
"BIOMCO";1987;"YFT";"F";85;11.5
"BIOMCO";1987;"YFT";"M";150.5;62.5
"BIOMCO";1987;"YFT";"M";140.5;56
"BIOMCO";1987;"YFT";"M";143.5;54
"BIOMCO";1987;"YFT";"M";144.5;62
"BIOMCO";1987;"YFT";"M";134.5;48.5
"BIOMCO";1987;"YFT";"M";134.5;46.5
"BIOMCO";1987;"YFT";"F";122.5;33
"BIOMCO";1987;"YFT";"M";141;56.5
"BIOMCO";1987;"YFT";"M";121.5;34.5
"BIOMCO";1987;"YFT";"M";114;31
"BIOMCO";1987;"YFT";"M";122;35.5
"BIOMCO";1987;"YFT";"M";157.5;83
"BIOMCO";1987;"YFT";"F";116.5;29
"BIOMCO";1987;"YFT";"F";112;24.5
"BIOMCO";1987;"YFT";"M";121;32
"BIOMCO";1987;"YFT";"M";79;9.5
"BIOMCO";1987;"YFT";"M";144;56.5
"BIOMCO";1987;"YFT";"M";83;11
"BIOMCO";1987;"YFT";"F";78;9
"BIOMCO";1987;"YFT";"M";87;12
"BIOMCO";1987;"YFT";"F";74;7.5
"BIOMCO";1987;"YFT";"M";91;13.5
"BIOMCO";1987;"YFT";"F";92;14.5
"BIOMCO";1987;"YFT";"M";68;6.5
"BIOMCO";1987;"YFT";"M";80;10
"BIOMCO";1987;"YFT";"F";76;9
"BIOMCO";1987;"YFT";"F";85;12
"BIOMCO";1987;"YFT";"F";80;9.5
"BIOMCO";1987;"YFT";"M";124;35.5
"BIOMCO";1987;"YFT";"M";138;52.5
"BIOMCO";1987;"YFT";"M";124;34
"BIOMCO";1987;"YFT";"F";90;14
"BIOMCO";1987;"YFT";"F";84;11
"BIOMCO";1987;"YFT";"M";84;11.5
"BIOMCO";1987;"YFT";"M";76.5;8.5
"BIOMCO";1987;"YFT";"F";82;10
"BIOMCO";1987;"YFT";"F";82;10.5
"BIOMCO";1987;"YFT";"M";82;10
"BIOMCO";1987;"YFT";"M";86;12.5
"BIOMCO";1987;"YFT";"F";80;9.5
"BIOMCO";1987;"YFT";"F";103;19
"BIOMCO";1987;"YFT";"M";127;36
